18.5,13.5,24.4,1.5,6.6,4.1,1.1,15.1,48,82.8,12.7,21.3,10.2,1140
17.7,16.1,23.6,3.9,7.3,4.6,1.4,16,59,90.5,12.7,20.6,15.2,1130
18.2,15.2,23,6.7,6.2,4.3,1.1,16.1,60,88.5,12.7,21.4,15,1110
16.8,15.6,18.3,0.4,4.3,3,0.8,16,86,95.4,12.5,18.6,14.1,1160
17.2,12.9,21.9,0.001,6.7,4.3,1.3,14.9,58,87.6,12.5,21.3,13.3,1300
13.2,11.7,14.4,12.5,10.8,4.9,2.7,11.5,83,90,12.3,14.8,9.5,1090
13.2,11.2,16.3,0.001,12.2,5.8,3,9.2,55,77.8,12.2,15.8,9.1,1190
13.8,11.6,17.6,0.001,6.5,4,1.9,9.9,55,78.8,12.2,15.6,9.2,1140
13.4,10.7,16.9,0.001,5.1,3.4,0.8,11.1,73,86.9,12.2,14.9,7,1120
14.5,8.4,21.3,0.001,5.3,3.8,1,11.9,53,85.9,12.1,17.7,8.9,1090
15.4,10.8,22.5,0.001,5.8,2.8,0.4,12.5,48,83.9,12,16.3,8.8,1100
17.9,13.9,22,0.3,6.1,2.2,0.3,16.7,76,93.1,12,17.9,13.2,1150
17,12.7,21.9,2,7.3,4.7,1.8,14.6,61,87.1,11.9,18.9,12.5,1210
11.9,10.8,13.1,1.1,6.7,2.9,1.5,10.3,80,90.3,11.9,14.8,10.5,1180
14.1,11,17.9,0.001,3.9,2.6,0.8,12.3,74,89.8,11.8,14.6,8.8,1150
14.7,8.9,19.8,0.001,8,4.6,1.4,12,58,84.6,11.7,16.6,4.7,1300
14.6,13.2,16.5,31.6,10.5,5.7,1.9,12.9,73,89.8,11.6,14.9,8.9,1390
14,9.3,19.9,0.001,9,5.7,1.3,11.8,52,88.5,11.6,16,4.6,1500
13.5,11.1,16.1,8,5.8,3,1.5,11.3,67,87.5,11.6,15.4,10.9,1550
8.7,4.3,14.5,0.001,5.2,3.5,1,5.3,59,80.5,11.5,12.7,1.8,1590
10.5,5,17.4,0.001,6.4,2.9,0.8,5,38,73.4,11.4,12,2.1,1460
10.6,6.4,14.8,0.001,6.7,4.5,1.4,7,57,79.9,11.4,12.5,2.2,1390
